,Comment text
465,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
466,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
467,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
468,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
469,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
470,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
471,Very underwhelming for an expensive price point
472,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
473,"*SO AWESOME I JUST GOT 90,000 V-BUCKS!!!* https://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3shttps://www.youtube.com/watch?v=lwPiQATQo8Q&t=3s"
474,Worth it: French Toast
475,11:09 lmao she tried
476,Do corndogs
477,I love how much more dramatic they make the last one
478,Worth it Croissant!!
479,"If I am paying 8 dollars for toast, it better come with a free side of 2 eggs, ham, and hashbrowns at Waffle house."
480,Buzzfeed: the only channel to squeeze out 10+ minutes of TOAST. Wtf
481,Toast is so vegetarian! I love it! My favorite top 5 foods!!!
482,Do cookies
483,dominique can talk me to sleep tbh
484,Yogurt.
485,Do oatmeal.
486,Go to Canada and do poutine.
487,was there any toast fact? did i missed it?
488,What are making it with that it would even be worth 8$ let alone 20?
489,"Dominique Crenn from Chef's Table, such an incredible woman! Love y'all got to meet her and eat her food!"
490,$1 meatball vs $50 meatball! 😂😂😂
491,$8 for toast? Bunny bread is a luxury to me
492,Worth it: snow cones
493,worth it french fry
494,How the heck is this 24 min?
495,I can get a loaf of fresh bakery bread for 5 and a jar of jelly for 2
496,Holy crap you spendin the big bucks now
497,Watching this made me go get some toast.
498,steven looks like he's single and ready to mingle on the thumbnail
499,JUST STOP ALREADY
500,"I absolutely despise watching people react to food, and yet I have watched every episode since Worth It started. Damn guys, you cast magic on people."
501,DO OXTAIL
502,Please do a boba episode
503,Which one takes the loaf
504,I want to marry Andrew he is so dang cute!!!!!
505,11:08 did she say vinegar?
506,Do lasagne
