Unnamed: 0,Comment text,Class,Repeatedness,Tokens
524,hannah phalen he doesn't care he is all about the money,0,2.0,"['hannah', 'phalen', 'he', 'doesn', 't', 'care', 'he', 'is', 'all', 'about', 'the', 'money']"
525,logan paul hannah stocking or twan hannah stocking,0,22.0,"['logan', 'paul', 'hannah', 'stocking', 'or', 'twan', 'hannah', 'stocking']"
526,unsubscribe,0,0.0,['unsubscribe']
527,piper rockelle????,0,4.0,"['piper', 'rockelle']"
528,wheres evan,0,0.0,"['wheres', 'evan']"
529,oh no.. where's maverick?,0,1.0,"['oh', 'no', 'where', 's', 'maverick']"
530,he is just following george like you have food my dad no feed mejk,0,3.0,"['he', 'is', 'just', 'following', 'george', 'like', 'you', 'have', 'food', 'my', 'dad', 'no', 'feed', 'mejk']"
531,well back to jake....its been a week ,0,6.0,"['well', 'back', 'to', 'jake', 'its', 'been', 'a', 'week']"
532,dead channel floating gg logan you tryed,0,2.0,"['dead', 'channel', 'floating', 'gg', 'logan', 'you', 'tryed']"
533,your brother isn't the nicest person......because he is ride to his fans...,0,7.0,"['your', 'brother', 'isn', 't', 'the', 'nicest', 'person', 'because', 'he', 'is', 'ride', 'to', 'his', 'fans']"
534,i thought you said on your twitch live stream that you would post,0,0.0,"['i', 'thought', 'you', 'said', 'on', 'your', 'twitch', 'live', 'stream', 'that', 'you', 'would', 'post']"
535,if any bodies wondering if the thinning 2 is still coming out. he confirmed it in the drama alert reference video,0,2.0,"['if', 'any', 'bodies', 'wondering', 'if', 'the', 'thinning', '2', 'is', 'still', 'coming', 'out', 'he', 'confirmed', 'it', 'in', 'the', 'drama', 'alert', 'reference', 'video']"
536,where is logan?,0,0.0,"['where', 'is', 'logan']"
537,you should get two dogs you should have kong and a german sherpard puppy and take it to a puppy taining camp,0,2.0,"['you', 'should', 'get', 'two', 'dogs', 'you', 'should', 'have', 'kong', 'and', 'a', 'german', 'sherpard', 'puppy', 'and', 'take', 'it', 'to', 'a', 'puppy', 'taining', 'camp']"
538,yo where you at ,0,1.0,"['yo', 'where', 'you', 'at']"
539,fuck logan for no upload,1,0.0,"['fuck', 'logan', 'for', 'no', 'upload']"
540,logan what you think about verne voyer or i dont his name but what you think of him if you dont know he died,0,0.0,"['logan', 'what', 'you', 'think', 'about', 'verne', 'voyer', 'or', 'i', 'dont', 'his', 'name', 'but', 'what', 'you', 'think', 'of', 'him', 'if', 'you', 'dont', 'know', 'he', 'died']"
541,bro are you stupid 1week no vlogs i am going to jake,0,1.0,"['bro', 'are', 'you', 'stupid', '1week', 'no', 'vlogs', 'i', 'am', 'going', 'to', 'jake']"
542,wheres the vlog bro ?,0,0.0,"['wheres', 'the', 'vlog', 'bro']"
543,you suck,1,0.0,"['you', 'suck']"
544,why did you stop vlogging,0,1.0,"['why', 'did', 'you', 'stop', 'vlogging']"
545,"logan i miss your vlogs man, it's been a week now, please upload.",0,3.0,"['logan', 'i', 'miss', 'your', 'vlogs', 'man', 'it', 's', 'been', 'a', 'week', 'now', 'please', 'upload']"
546,upload a vlog or you will do something like forest incident again i will haunt you until you upload a new vlog,0,2.0,"['upload', 'a', 'vlog', 'or', 'you', 'will', 'do', 'something', 'like', 'forest', 'incident', 'again', 'i', 'will', 'haunt', 'you', 'until', 'you', 'upload', 'a', 'new', 'vlog']"
547,what happen to youtuber look 17 mill sub but only at 4 million views,0,4.0,"['what', 'happen', 'to', 'youtuber', 'look', '17', 'mill', 'sub', 'but', 'only', 'at', '4', 'million', 'views']"
548,he's training dumb fucks go watch jake paul faggot give him a break,0,1.0,"['he', 's', 'training', 'dumb', 'fucks', 'go', 'watch', 'jake', 'paul', 'faggot', 'give', 'him', 'a', 'break']"
549,this was a funny video,0,1.0,"['this', 'was', 'a', 'funny', 'video']"
550,logan you havnt posted in a week!!!!! you bro,0,5.0,"['logan', 'you', 'havnt', 'posted', 'in', 'a', 'week', 'you', 'bro']"
551,no one owned ball (noob),0,2.0,"['no', 'one', 'owned', 'ball', 'noob']"
552,come on logan upload,0,0.0,"['come', 'on', 'logan', 'upload']"
553,is logan even fucking training for the fight in august??,0,1.0,"['is', 'logan', 'even', 'fucking', 'training', 'for', 'the', 'fight', 'in', 'august']"
554,he doesnt film himself training but in previous vlogs he says he trains 6 hours a day thats also why he went vegan,0,0.0,"['he', 'doesnt', 'film', 'himself', 'training', 'but', 'in', 'previous', 'vlogs', 'he', 'says', 'he', 'trains', '6', 'hours', 'a', 'day', 'thats', 'also', 'why', 'he', 'went', 'vegan']"
555,"im not subbed to you but just wanna say i know youre trying to make your way in this world like everyone else logan, but you're probably one of the most worthless, useless, adhd infested piece of dirt that literally contributes nothing to this world or society other than brainwashing younger people to be as retarded as you, thanks for plaguing our world or i should thank your dumbass dad for that for not pulling out.",0,7.0,"['im', 'not', 'subbed', 'to', 'you', 'but', 'just', 'wanna', 'say', 'i', 'know', 'youre', 'trying', 'to', 'make', 'your', 'way', 'in', 'this', 'world', 'like', 'everyone', 'else', 'logan', 'but', 'you', 're', 'probably', 'one', 'of', 'the', 'most', 'worthless', 'useless', 'adhd', 'infested', 'piece', 'of', 'dirt', 'that', 'literally', 'contributes', 'nothing', 'to', 'this', 'world', 'or', 'society', 'other', 'than', 'brainwashing', 'younger', 'people', 'to', 'be', 'as', 'retarded', 'as', 'you', 'thanks', 'for', 'plaguing', 'our', 'world', 'or', 'i', 'should', 'thank', 'your', 'dumbass', 'dad', 'for', 'that', 'for', 'not', 'pulling', 'out']"
556,wheres mark,0,0.0,"['wheres', 'mark']"
557,where is the vlogs ?? you dead bro ?? ,0,2.0,"['where', 'is', 'the', 'vlogs', 'you', 'dead', 'bro']"
558,post a new vlog,0,0.0,"['post', 'a', 'new', 'vlog']"
559,he is probably not uploading cause he found out verne troyer died.,0,0.0,"['he', 'is', 'probably', 'not', 'uploading', 'cause', 'he', 'found', 'out', 'verne', 'troyer', 'died']"
560,pretty hilarious,0,1.0,"['pretty', 'hilarious']"
561,where is vlog ? now you sucks !,0,0.0,"['where', 'is', 'vlog', 'now', 'you', 'sucks']"
562,so logans been sick for an unusually long time. y'all think thats why no vlog?.,0,3.0,"['so', 'logans', 'been', 'sick', 'for', 'an', 'unusually', 'long', 'time', 'y', 'all', 'think', 'thats', 'why', 'no', 'vlog']"
563,logan were is your vlogs ??,0,1.0,"['logan', 'were', 'is', 'your', 'vlogs']"
564,logan please your starting to disappoint me... please go back to your daily vlogging i miss you so much ,0,5.0,"['logan', 'please', 'your', 'starting', 'to', 'disappoint', 'me', 'please', 'go', 'back', 'to', 'your', 'daily', 'vlogging', 'i', 'miss', 'you', 'so', 'much']"
565,please don't quit vlogging,0,1.0,"['please', 'don', 't', 'quit', 'vlogging']"
566,make more vlogs,0,0.0,"['make', 'more', 'vlogs']"
567,come back,0,0.0,"['come', 'back']"
568,where are your vids i miss them already ,0,1.0,"['where', 'are', 'your', 'vids', 'i', 'miss', 'them', 'already']"
569,follow worth it on instagram! outer_url ,1,7.0,"['follow', 'worth', 'it', 'on', 'instagram', 'outer_url']"
570,"nasat(minus)=satan look up jack parsons, wernher von braun, l ron hubbard and jacob frank. 7877",1,3.0,"['nasat', 'minus', 'satan', 'look', 'up', 'jack', 'parsons', 'wernher', 'von', 'braun', 'l', 'ron', 'hubbard', 'and', 'jacob', 'frank', '7877']"
571,"buzzfeedvideo 0.01 grape vs. 10,000,000 grape",0,6.0,"['buzzfeedvideo', '0', '01', 'grape', 'vs', '10', '000', '000', 'grape']"
572, s 74690.zagorali.ru s s 74690.zagorali.ru s s 74690.zagorali.ru s ,1,12.0,"['s', '74690', 'zagorali', 'ru', 's', 's', '74690', 'zagorali', 'ru', 's', 's', '74690', 'zagorali', 'ru', 's']"
573, 95796.zagorali.ru 95796.zagorali.ru 95796.zagorali.ru ,1,12.0,"['95796', 'zagorali', 'ru', '95796', 'zagorali', 'ru', '95796', 'zagorali', 'ru']"
574,i lovvvveeee swirl go there dailyy,0,7.0,"['i', 'lovvvveeee', 'swirl', 'go', 'there', 'dailyy']"
575,best toast is disguised toast. you should try it some time. it's rly expensive though. like 200 dollars,0,2.0,"['best', 'toast', 'is', 'disguised', 'toast', 'you', 'should', 'try', 'it', 'some', 'time', 'it', 's', 'rly', 'expensive', 'though', 'like', '200', 'dollars']"
576,what dumbasses made this trending?,0,1.0,"['what', 'dumbasses', 'made', 'this', 'trending']"
577,worth it: my kidneys.,0,0.0,"['worth', 'it', 'my', 'kidneys']"
578,there isn't a piece of toast on the planet worth 8 let alone 20. a fool and his money are soon parted.,0,3.0,"['there', 'isn', 't', 'a', 'piece', 'of', 'toast', 'on', 'the', 'planet', 'worth', '8', 'let', 'alone', '20', 'a', 'fool', 'and', 'his', 'money', 'are', 'soon', 'parted']"
579,"this is not the toast im familiar to (being british), yall americans be so extra!",0,1.0,"['this', 'is', 'not', 'the', 'toast', 'im', 'familiar', 'to', 'being', 'british', 'yall', 'americans', 'be', 'so', 'extra']"
580,do cheese steak next,0,1.0,"['do', 'cheese', 'steak', 'next']"
581,some of you were expecting a slice of wonder bread with some butter on it .,0,1.0,"['some', 'of', 'you', 'were', 'expecting', 'a', 'slice', 'of', 'wonder', 'bread', 'with', 'some', 'butter', 'on', 'it']"
582,you should do poutine next,0,0.0,"['you', 'should', 'do', 'poutine', 'next']"
583,why would someone pay for toast,0,0.0,"['why', 'would', 'someone', 'pay', 'for', 'toast']"
584, _timecode that place was 2 not 1 ,0,1.0,"['_timecode', 'that', 'place', 'was', '2', 'not', '1']"
585,worth it : poutine !!!,0,2.0,"['worth', 'it', 'poutine']"
586,i love the french definition of a little butter its bad for the thighs but nirvana for the soul,0,2.0,"['i', 'love', 'the', 'french', 'definition', 'of', 'a', 'little', 'butter', 'its', 'bad', 'for', 'the', 'thighs', 'but', 'nirvana', 'for', 'the', 'soul']"
587,yo did they shoot the worth it winner before the last restaurant? because his hair go from grey to white and then grey,0,2.0,"['yo', 'did', 'they', 'shoot', 'the', 'worth', 'it', 'winner', 'before', 'the', 'last', 'restaurant', 'because', 'his', 'hair', 'go', 'from', 'grey', 'to', 'white', 'and', 'then', 'grey']"
588, youtube_video_url ,1,2.0,['youtube_video_url']
589,now they just running out of ideas...,0,3.0,"['now', 'they', 'just', 'running', 'out', 'of', 'ideas']"
590,"bruh, if you paid 8 for 1 piece of toast with some jam and cheese, you got scammed",0,2.0,"['bruh', 'if', 'you', 'paid', '8', 'for', '1', 'piece', 'of', 'toast', 'with', 'some', 'jam', 'and', 'cheese', 'you', 'got', 'scammed']"
591,the last one is more about mushrooms.,0,1.0,"['the', 'last', 'one', 'is', 'more', 'about', 'mushrooms']"
592,i put a 150 000 car on a toast and it became a 150 000 toast :),0,4.0,"['i', 'put', 'a', '150', '000', 'car', 'on', 'a', 'toast', 'and', 'it', 'became', 'a', '150', '000', 'toast']"
593,have they done ramen worth it?,0,0.0,"['have', 'they', 'done', 'ramen', 'worth', 'it']"
594,i'm not sure anymore if i am watching a food show or a gay couple go on dates.,0,1.0,"['i', 'm', 'not', 'sure', 'anymore', 'if', 'i', 'am', 'watching', 'a', 'food', 'show', 'or', 'a', 'gay', 'couple', 'go', 'on', 'dates']"
595,i never realized until now how much i enjoy listening to the french accent,0,1.0,"['i', 'never', 'realized', 'until', 'now', 'how', 'much', 'i', 'enjoy', 'listening', 'to', 'the', 'french', 'accent']"
596,the chef(the woman) is coming from the same region as mine! bretagnepower,0,0.0,"['the', 'chef', 'the', 'woman', 'is', 'coming', 'from', 'the', 'same', 'region', 'as', 'mine', 'bretagnepower']"
597,how the hell is the cheapest toast 8 that's too far,0,2.0,"['how', 'the', 'hell', 'is', 'the', 'cheapest', 'toast', '8', 'that', 's', 'too', 'far']"
598,lol you gays dont even believe in my male penis,1,1.0,"['lol', 'you', 'gays', 'dont', 'even', 'believe', 'in', 'my', 'male', 'penis']"
599, _timecode he said my name!!,0,1.0,"['_timecode', 'he', 'said', 'my', 'name']"
600,i2 was my worth it winner,0,1.0,"['i2', 'was', 'my', 'worth', 'it', 'winner']"
601," oh my god , something that i can actually afford",0,3.0,"['oh', 'my', 'god', 'something', 'that', 'i', 'can', 'actually', 'afford']"
602,adam's requested episode so they act like adam,0,0.0,"['adam', 's', 'requested', 'episode', 'so', 'they', 'act', 'like', 'adam']"
603,steven calling the cheese a little messy was hot,0,4.0,"['steven', 'calling', 'the', 'cheese', 'a', 'little', 'messy', 'was', 'hot']"
604,shut up adam.,0,0.0,"['shut', 'up', 'adam']"
605,worth it vietnamese banh mi sandwhiches,0,0.0,"['worth', 'it', 'vietnamese', 'banh', 'mi', 'sandwhiches']"
606,worth it: chicken nuggets and fries ,0,1.0,"['worth', 'it', 'chicken', 'nuggets', 'and', 'fries']"
607,continues clinking glasses cuz they can't pronounce fancy foods,0,2.0,"['continues', 'clinking', 'glasses', 'cuz', 'they', 'can', 't', 'pronounce', 'fancy', 'foods']"
608,worth it : meatloaf and subs please.,0,0.0,"['worth', 'it', 'meatloaf', 'and', 'subs', 'please']"
609,id pay a lot of bread to try these! please kill me,0,1.0,"['id', 'pay', 'a', 'lot', 'of', 'bread', 'to', 'try', 'these', 'please', 'kill', 'me']"
610,yep i was thinking there is no way you can do a toast episode without coming to sf.,0,0.0,"['yep', 'i', 'was', 'thinking', 'there', 'is', 'no', 'way', 'you', 'can', 'do', 'a', 'toast', 'episode', 'without', 'coming', 'to', 'sf']"
611,this guy reminds me so much of adam scott wtf.....,0,5.0,"['this', 'guy', 'reminds', 'me', 'so', 'much', 'of', 'adam', 'scott', 'wtf']"
612,worth it burrito,0,1.0,"['worth', 'it', 'burrito']"
613,try biryani!,0,0.0,"['try', 'biryani']"
614,worth it chicken,0,0.0,"['worth', 'it', 'chicken']"
615,grilled cheese ,0,4.0,"['grilled', 'cheese']"
616,wow its only 20 bucks,0,0.0,"['wow', 'its', 'only', '20', 'bucks']"
617,"do 2 dildo vs 35,000 dildo next.",0,2.0,"['do', '2', 'dildo', 'vs', '35', '000', 'dildo', 'next']"
618,"worth it : francesinha, is a tradicional portuguese food",0,1.0,"['worth', 'it', 'francesinha', 'is', 'a', 'tradicional', 'portuguese', 'food']"
619,i'm so glad avocado toast was not involved. also.....toast facts? toast facts!?!?!,0,4.0,"['i', 'm', 'so', 'glad', 'avocado', 'toast', 'was', 'not', 'involved', 'also', 'toast', 'facts', 'toast', 'facts']"
620,"i can't believe you got a dish cooked for you by dominique crenn. besides being an amazing chef, she was (finally) awarded the james beard award best chef: west. congrats to the worth it guys, and to dominique.",0,3.0,"['i', 'can', 't', 'believe', 'you', 'got', 'a', 'dish', 'cooked', 'for', 'you', 'by', 'dominique', 'crenn', 'besides', 'being', 'an', 'amazing', 'chef', 'she', 'was', 'finally', 'awarded', 'the', 'james', 'beard', 'award', 'best', 'chef', 'west', 'congrats', 'to', 'the', 'worth', 'it', 'guys', 'and', 'to', 'dominique']"
621,another lovely episode by you three keep it up,0,2.0,"['another', 'lovely', 'episode', 'by', 'you', 'three', 'keep', 'it', 'up']"
622,i'm sorry... i feel like you guys have dropped a bit,0,5.0,"['i', 'm', 'sorry', 'i', 'feel', 'like', 'you', 'guys', 'have', 'dropped', 'a', 'bit']"
623,omfg the liver mouse from here is looking at you maaan that triggered an instant super-crave in me...... oh my god m hungry now....that liver spread looks sooo ghhuuuddd.....,1,24.0,"['omfg', 'the', 'liver', 'mouse', 'from', 'here', 'is', 'looking', 'at', 'you', 'maaan', 'that', 'triggered', 'an', 'instant', 'super', 'crave', 'in', 'me', 'oh', 'my', 'god', 'm', 'hungry', 'now', 'that', 'liver', 'spread', 'looks', 'sooo', 'ghhuuuddd']"
624,worth it: french fries,0,0.0,"['worth', 'it', 'french', 'fries']"
625,i love adam!,0,0.0,"['i', 'love', 'adam']"
626,so weird to see that the ideal cheese of americans is so diffrent to our dutch ideal of cheese,0,4.0,"['so', 'weird', 'to', 'see', 'that', 'the', 'ideal', 'cheese', 'of', 'americans', 'is', 'so', 'diffrent', 'to', 'our', 'dutch', 'ideal', 'of', 'cheese']"
627,thanks for another great episode!,0,0.0,"['thanks', 'for', 'another', 'great', 'episode']"
628,"one more video where you guys each pick a different winner, and i'm going to assume that you were threatened with a lawsuit by a past restaurant that didn't win.",0,3.0,"['one', 'more', 'video', 'where', 'you', 'guys', 'each', 'pick', 'a', 'different', 'winner', 'and', 'i', 'm', 'going', 'to', 'assume', 'that', 'you', 'were', 'threatened', 'with', 'a', 'lawsuit', 'by', 'a', 'past', 'restaurant', 'that', 'didn', 't', 'win']"
629,i wanna see them try escargot,0,2.0,"['i', 'wanna', 'see', 'them', 'try', 'escargot']"
630,andrew spiking polish not ukrainian! na zdrowie is polish word!,0,0.0,"['andrew', 'spiking', 'polish', 'not', 'ukrainian', 'na', 'zdrowie', 'is', 'polish', 'word']"
631, _timecode what did she say,0,1.0,"['_timecode', 'what', 'did', 'she', 'say']"
632,"do you guys ever ""dislike"" any of the stuff, i've watched every episode and you clearly love it all....come on !!!!",0,8.0,"['do', 'you', 'guys', 'ever', 'dislike', 'any', 'of', 'the', 'stuff', 'i', 've', 'watched', 'every', 'episode', 'and', 'you', 'clearly', 'love', 'it', 'all', 'come', 'on']"
633,like for a free samsung note 7,1,1.0,"['like', 'for', 'a', 'free', 'samsung', 'note', '7']"
634,worth it: l,0,0.0,"['worth', 'it', 'l']"
635,worth it: persian food,0,1.0,"['worth', 'it', 'persian', 'food']"
636,if my subscribers subscribe to me on the channel you will make me really happy kommik video channel,1,6.0,"['if', 'my', 'subscribers', 'subscribe', 'to', 'me', 'on', 'the', 'channel', 'you', 'will', 'make', 'me', 'really', 'happy', 'kommik', 'video', 'channel']"
637, other_youtube_url if my subscribers subscribe to me on the channel you will make me really happy kommik video channel,1,12.0,"['other_youtube_url', 'if', 'my', 'subscribers', 'subscribe', 'to', 'me', 'on', 'the', 'channel', 'you', 'will', 'make', 'me', 'really', 'happy', 'kommik', 'video', 'channel']"
638,no toast facts ?,0,0.0,"['no', 'toast', 'facts']"
639,dominique crenn!,0,1.0,"['dominique', 'crenn']"
640,come to canada and do poutine!,0,0.0,"['come', 'to', 'canada', 'and', 'do', 'poutine']"
641,no grown man should ever wear a supreme hat.,0,0.0,"['no', 'grown', 'man', 'should', 'ever', 'wear', 'a', 'supreme', 'hat']"
642,20 dollars!,0,1.0,"['20', 'dollars']"
643,i didnt think could love andrew any more than i do. then he spoke ukrainian,0,0.0,"['i', 'didnt', 'think', 'could', 'love', 'andrew', 'any', 'more', 'than', 'i', 'do', 'then', 'he', 'spoke', 'ukrainian']"
644,do sandwiches,0,0.0,"['do', 'sandwiches']"
645,the max i ever spend on a whole loaf is like 1.49 lol,0,0.0,"['the', 'max', 'i', 'ever', 'spend', 'on', 'a', 'whole', 'loaf', 'is', 'like', '1', '49', 'lol']"
646,i wonder how could they eat all of that ?!!,0,2.0,"['i', 'wonder', 'how', 'could', 'they', 'eat', 'all', 'of', 'that']"
647,"just two guys in grey shirts eating toast, what a clich",0,0.0,"['just', 'two', 'guys', 'in', 'grey', 'shirts', 'eating', 'toast', 'what', 'a', 'clich']"
648,not to be rude but they both look like they hadn't had sleep in while...still trying to like endergetic. i still love you guys ,0,7.0,"['not', 'to', 'be', 'rude', 'but', 'they', 'both', 'look', 'like', 'they', 'hadn', 't', 'had', 'sleep', 'in', 'while', 'still', 'trying', 'to', 'like', 'endergetic', 'i', 'still', 'love', 'you', 'guys']"
649,they give adam the left overs,0,0.0,"['they', 'give', 'adam', 'the', 'left', 'overs']"
650,white toast with cream cheese and jelly for 1 please.,0,2.0,"['white', 'toast', 'with', 'cream', 'cheese', 'and', 'jelly', 'for', '1', 'please']"
651,no toast fact?!?!?!?!,0,0.0,"['no', 'toast', 'fact']"
652,worth it : fries,0,0.0,"['worth', 'it', 'fries']"
653,worth it: grilled cheese?,0,2.0,"['worth', 'it', 'grilled', 'cheese']"
654,buzzfeed more like buttfeed!!!!!!!,1,10.0,"['buzzfeed', 'more', 'like', 'buttfeed']"
655,20 bucks for mushrooms on toast though?,0,1.0,"['20', 'bucks', 'for', 'mushrooms', 'on', 'toast', 'though']"
656, _timecode cosmo and wanda aint slick.,0,0.0,"['_timecode', 'cosmo', 'and', 'wanda', 'aint', 'slick']"
657,toadst fact?,0,0.0,"['toadst', 'fact']"
658,they should let adam choose which type of food they should eat,0,2.0,"['they', 'should', 'let', 'adam', 'choose', 'which', 'type', 'of', 'food', 'they', 'should', 'eat']"
659,real question is why is the cheapest 8,0,2.0,"['real', 'question', 'is', 'why', 'is', 'the', 'cheapest', '8']"
660,this may be one of my favorite episodes this season. i now want to up my own toast game!,0,0.0,"['this', 'may', 'be', 'one', 'of', 'my', 'favorite', 'episodes', 'this', 'season', 'i', 'now', 'want', 'to', 'up', 'my', 'own', 'toast', 'game']"
661,the 20 toast has yall shook.,0,2.0,"['the', '20', 'toast', 'has', 'yall', 'shook']"
662,love that guys supreme hat,0,0.0,"['love', 'that', 'guys', 'supreme', 'hat']"
663,"just dropping by to say, andrew looks like winter soldier lol",0,2.0,"['just', 'dropping', 'by', 'to', 'say', 'andrew', 'looks', 'like', 'winter', 'soldier', 'lol']"
664,you should slap on some butter and vegemite....never eat it with a spoon...,0,7.0,"['you', 'should', 'slap', 'on', 'some', 'butter', 'and', 'vegemite', 'never', 'eat', 'it', 'with', 'a', 'spoon']"
665,cant wait for the worth it boys to do a season in india!!!,0,2.0,"['cant', 'wait', 'for', 'the', 'worth', 'it', 'boys', 'to', 'do', 'a', 'season', 'in', 'india']"
666,toast so good it cut his hair midway through the show,0,1.0,"['toast', 'so', 'good', 'it', 'cut', 'his', 'hair', 'midway', 'through', 'the', 'show']"
667,so many carbs.,0,0.0,"['so', 'many', 'carbs']"
668,was anyone else turned on by andrew licking the butterknife at _timecode ,0,1.0,"['was', 'anyone', 'else', 'turned', 'on', 'by', 'andrew', 'licking', 'the', 'butterknife', 'at', '_timecode']"
669,8 bucks for a peace of bread? these niggaz got me fked up,0,2.0,"['8', 'bucks', 'for', 'a', 'peace', 'of', 'bread', 'these', 'niggaz', 'got', 'me', 'fked', 'up']"
670,"i think i'd like to date adam, please .",0,0.0,"['i', 'think', 'i', 'd', 'like', 'to', 'date', 'adam', 'please']"
671,worth it: crepes,0,0.0,"['worth', 'it', 'crepes']"
672,worth it :cheese,0,1.0,"['worth', 'it', 'cheese']"
673,"you lost me at california butter. california dairy products are pretty wretched. you don't go to vt, ny, wi and see them constantly trying to push their state dairy products telling you about happy cows. there are certain places that simply have the best - they don't need to try and convince you that they are good as they are simply known as the best for domestic. this is why ca pizza sucks in general - unless you find a pizza place that gets real cheese from out of state it will be far inferior.",0,19.0,"['you', 'lost', 'me', 'at', 'california', 'butter', 'california', 'dairy', 'products', 'are', 'pretty', 'wretched', 'you', 'don', 't', 'go', 'to', 'vt', 'ny', 'wi', 'and', 'see', 'them', 'constantly', 'trying', 'to', 'push', 'their', 'state', 'dairy', 'products', 'telling', 'you', 'about', 'happy', 'cows', 'there', 'are', 'certain', 'places', 'that', 'simply', 'have', 'the', 'best', 'they', 'don', 't', 'need', 'to', 'try', 'and', 'convince', 'you', 'that', 'they', 'are', 'good', 'as', 'they', 'are', 'simply', 'known', 'as', 'the', 'best', 'for', 'domestic', 'this', 'is', 'why', 'ca', 'pizza', 'sucks', 'in', 'general', 'unless', 'you', 'find', 'a', 'pizza', 'place', 'that', 'gets', 'real', 'cheese', 'from', 'out', 'of', 'state', 'it', 'will', 'be', 'far', 'inferior']"
674,"oh wow, what could be better than my boy andrew speaking ukrainian here. as a fellow ukrainian would give his pronunciation a solid 7",0,3.0,"['oh', 'wow', 'what', 'could', 'be', 'better', 'than', 'my', 'boy', 'andrew', 'speaking', 'ukrainian', 'here', 'as', 'a', 'fellow', 'ukrainian', 'would', 'give', 'his', 'pronunciation', 'a', 'solid', '7']"
675,perks of not having children for.......now,0,6.0,"['perks', 'of', 'not', 'having', 'children', 'for', 'now']"
676,where is the toast fact? ,0,1.0,"['where', 'is', 'the', 'toast', 'fact']"
677,"i think that's polish, not ukrainian..",0,1.0,"['i', 'think', 'that', 's', 'polish', 'not', 'ukrainian']"
678,bread episode and you didn't go to tartine in sf,0,0.0,"['bread', 'episode', 'and', 'you', 'didn', 't', 'go', 'to', 'tartine', 'in', 'sf']"
679,worth it: rice,0,0.0,"['worth', 'it', 'rice']"
680,"""you know what they say, all toasters toast toast!""",0,1.0,"['you', 'know', 'what', 'they', 'say', 'all', 'toasters', 'toast', 'toast']"
681,poor adam lol,0,1.0,"['poor', 'adam', 'lol']"
682,i wish worth it was its own channel so i could subscribe :(,0,1.0,"['i', 'wish', 'worth', 'it', 'was', 'its', 'own', 'channel', 'so', 'i', 'could', 'subscribe']"
683,i love this show!,0,0.0,"['i', 'love', 'this', 'show']"
684,is the silent guy supposed to be funny?,0,2.0,"['is', 'the', 'silent', 'guy', 'supposed', 'to', 'be', 'funny']"
685,"i love how all cooks are always like, ""oh let's use a little bit of butter"" puts in 3/4ths a stick",0,4.0,"['i', 'love', 'how', 'all', 'cooks', 'are', 'always', 'like', 'oh', 'let', 's', 'use', 'a', 'little', 'bit', 'of', 'butter', 'puts', 'in', '3', '4ths', 'a', 'stick']"
686,worth it: dim sum,0,0.0,"['worth', 'it', 'dim', 'sum']"
687,im hungry but im at school ,0,1.0,"['im', 'hungry', 'but', 'im', 'at', 'school']"
688,"8 toast? maybe it's because i live in a poor country, but that also seems absurdly expensive.",0,2.0,"['8', 'toast', 'maybe', 'it', 's', 'because', 'i', 'live', 'in', 'a', 'poor', 'country', 'but', 'that', 'also', 'seems', 'absurdly', 'expensive']"
689,you are true idiots,1,0.0,"['you', 'are', 'true', 'idiots']"
690,do brunch!,0,0.0,"['do', 'brunch']"
691,poutine episode please,0,0.0,"['poutine', 'episode', 'please']"
692,watch the chefs table episode with dominique crenn on netflix! you rlly get to learn more about the chef behind the 20 toast,0,2.0,"['watch', 'the', 'chefs', 'table', 'episode', 'with', 'dominique', 'crenn', 'on', 'netflix', 'you', 'rlly', 'get', 'to', 'learn', 'more', 'about', 'the', 'chef', 'behind', 'the', '20', 'toast']"
693,it would be nice to have andrew as my husband!,0,0.0,"['it', 'would', 'be', 'nice', 'to', 'have', 'andrew', 'as', 'my', 'husband']"
694,mixing worth it with chef's table! love it!!!!! well done.,0,5.0,"['mixing', 'worth', 'it', 'with', 'chef', 's', 'table', 'love', 'it', 'well', 'done']"
695,i'm larry the leprechaun. somebody stole me pot of gold.,0,1.0,"['i', 'm', 'larry', 'the', 'leprechaun', 'somebody', 'stole', 'me', 'pot', 'of', 'gold']"
696,i was just dropping by to tell you that this trash is the worst excuse for entertainment i've ever seen.,1,3.0,"['i', 'was', 'just', 'dropping', 'by', 'to', 'tell', 'you', 'that', 'this', 'trash', 'is', 'the', 'worst', 'excuse', 'for', 'entertainment', 'i', 've', 'ever', 'seen']"
697,worth it pita,0,0.0,"['worth', 'it', 'pita']"
698,i remember when andrew would be disgusted at the thought of toasting food with steven but now he's the one initiating it and making toast puns. i think the next logical progression of this character arc is to have andrew ask steven out and start dating.,0,2.0,"['i', 'remember', 'when', 'andrew', 'would', 'be', 'disgusted', 'at', 'the', 'thought', 'of', 'toasting', 'food', 'with', 'steven', 'but', 'now', 'he', 's', 'the', 'one', 'initiating', 'it', 'and', 'making', 'toast', 'puns', 'i', 'think', 'the', 'next', 'logical', 'progression', 'of', 'this', 'character', 'arc', 'is', 'to', 'have', 'andrew', 'ask', 'steven', 'out', 'and', 'start', 'dating']"
699,please do indian food ,0,1.0,"['please', 'do', 'indian', 'food']"
700,i feel disappointed that there aren't any toast or bread facts :(,0,2.0,"['i', 'feel', 'disappointed', 'that', 'there', 'aren', 't', 'any', 'toast', 'or', 'bread', 'facts']"
